,headlines,categories
0,پیپلز پارٹی نے ووٹ بیچنے کیلئے 8 کروڑ روپے کی پیش کش کی,"['قومی اسمبلی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'اسلام آباد', 'پاکستان', 'علی حیدر گیلانی', 'سینیٹ', 'نجی ٹی وی چینل', 'ووٹ', 'وزیر اطلاعات', 'فواد چوہدری', 'الیکشن', 'پیپلز پارٹی', 'یوسف رضا گیلانی', 'کار', 'سندھ', 'وٹس ایپ']"
1,سندھ ہائی کورٹ کا محکمہ جنگلات کی زمین پر فصل غیرقانونی قرار، ضبط کرنے کا حکم دے دیا،قبضوں کے خاتمے کے لئے رینجرزکو فرنٹ لائن پر آنے کی ہدایت,"['رینجرز', 'پانی', 'عدالت', 'پولیس', 'سندھ', 'سماعت']"
2,یوسف رضا گیلانی کے بیٹے علی حیدر گیلانی کی ایم این ایز سے ووٹ کی خرید و فروخت اور ووٹ ضائع کرنے کی ترغیب دینے کی مبینہ ویڈیو سامنے آ گئی,"['علی حیدر گیلانی', 'الیکشن', 'نجی ٹی وی چینل', 'عدالت', 'قومی اسمبلی', 'پنجاب', 'ووٹ', 'یوسف رضا گیلانی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پنجاب اسمبلی', 'وزیراعظم', 'پاکستان تحریک انصاف', 'فواد چوہدری', 'پاکستان', 'سپریم کورٹ']"
3,سینٹ انتخابات ،یوسف رضا گیلانی کے بیٹے علی حیدر علی گیلانی کی مبینہ ویڈیو منظر عام پر آگئی,"['قومی اسمبلی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'پاکستان', 'علی حیدر گیلانی', 'سینیٹ', 'ووٹ', 'حفیظ شیخ', 'وزیراعظم', 'سید علی شاہ گیلانی', 'فواد چوہدری', 'میرا', 'الیکشن', 'پیپلز پارٹی', 'یوسف رضا گیلانی', 'کار', 'سندھ', 'جمہوریت']"
4,سبی میلہ بنیادی طور پر مالداروں کی سال بھر کی محنت کو سامنے رکھتے ہوئے منایا جا رہا ہے ،سید زاہد شاہ,"['کرونا وائرس', 'بلوچستان', 'ارسلان', 'ڈاکٹر', 'پولیس', 'ایف سی', 'جرگہ']"
5,پشتونخواملی عوامی پارٹی کی بلوچ قومی ثقافت دن کے موقع پر دنیا بھر میں رہنے والے تمام بلوچ عوام کو مبارکباد ,"['اسمبلی', 'تعلیم', 'پاکستان', 'دنیا']"
6,بلوچستان سے سینیٹ کی 12نشستوں پر31امیدواروں کے درمیان مقابلہ ہوگا,"['الیکشن', 'بلوچستان', 'سینیٹ', 'ووٹ', 'اسلم رئیسانی', 'اے این پی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'جمعیت', 'پاکستان']"
7,بلوچستان میں حکومتی اور اپوزیشن اتحادی جماعتوں کے سینیٹ انتخابات میں ووٹ دینے کیلئے پینل بنا نے کا کام مکمل نہیں ہوسکا ،اہم اجلاس (کل) صبح طلب ,"['سینیٹ', 'بلوچستان', 'ووٹ', 'اسمبلی', 'عام انتخابات 2018']"
8,بلوچستان سے اسلام آباد جانے والے ارکان قومی اسمبلی کی فلائنٹ منسوخ ،خصوصی طیارے میں اسلام آباد پہنچے ,"['اسمبلی', 'قومی اسمبلی', 'بلوچستان', 'جمعیت']"
9,چیف سیکرٹری بلوچستان کی زیر صدارت ہائیکورٹ کے فیصلوں پرعملدرآمد سے متعلق اعلی سطحی اجلاس,"['بلوچستان', 'عدالت', 'این او سی', 'پولیس', 'کوئٹہ', 'ٹریفک']"
