,headlines,categories,time
0,کابینہ نے پاکستان اور روس کے درمیان نارتھ سائوتھ گیس پائپ لائن منصوبے کے حوالے سے معاہدے میں ترمیم کے پروٹوکول کی منظوری دیدی ,"['کمپنی', 'لاہور', 'پاکستان', 'پارلیمنٹ', 'سی پیک', 'نیپرا', 'براڈ شیٹ', 'عدالت', 'گورنر', 'میٹرو', 'میٹرو بس', 'روس', 'کرونا وائرس', 'محمد علی جناح', 'سندھ', 'سوئی گیس', 'بنک', 'ڈالر', 'کار']",2021-03-09T23:27:39+0500
1,وزیراعظم نے ایف آئی اے میں ایک ہزار بھرتیوں کی منظوری دے دی,"['وزیراعظم', 'وزارت داخلہ']",2021-03-09T23:27:39+0500
2,نومنتخب سینیٹر شیری رحمان کی جانب سے پی پی پی سینیٹرز کے اعزاز میں عشائیہ، بلاول بھٹوکی شرکت,"['راجہ پرویز اشرف', 'پاکستان', 'آصف علی زرداری', 'یوسف رضا گیلانی', 'سردار محمد لطیف کھوسہ', 'سینیٹ', 'شیری رحمان', 'بلاول بھٹو زرداری']",2021-03-09T23:27:39+0500
3,ناجائز منافع خوروں کے خلاف کراچی انتظامیہ کا کریک ڈائون، 6 لاکھ سے زائد جرمانے عائد ,"['کراچی', 'آٹا', 'جرمانہ']",2021-03-09T23:27:39+0500
4,ایک لیگی سینیٹر کھلم کھلا سنجرانی کو ووٹ دینے کا کہہ رہا ہے، شفقت محمود کا دعویٰ,"['جماعت اسلامی', 'اسکینڈل', 'سینیٹ', 'ووٹ', 'علی حیدر گیلانی', 'مسلم لیگ (ن)', 'مولانا فضل الرحمن', 'تعلیم']",2021-03-09T23:27:39+0500
5,بلاول کی یوسف گیلانی اور غفورحیدری کو پی ڈی ایم امیدوار نامزد ہونے پر مبارک باد,"['پاکستان', 'یوسف رضا گیلانی', 'آصف علی زرداری', 'عام انتخابات 2018', 'سینیٹ', 'بلاول بھٹو زرداری']",2021-03-09T23:27:39+0500
6,بیرون ملک سے 60 ارب روپے غیر رجسٹرڈ ٹیکس دہندگان کو وصول ہونے کا انکشاف,"['کمپنی', 'پاکستان', 'امریکہ']",2021-03-09T23:27:39+0500
7,چوتھی قومی خواتین وکلاء کانفرنس خواتین وکلاء کو معاشرے میں اہم کردار ادا کرنے کیلئے سنگ میل ثابت ہوگی، صوبائی وزیر شہلا رضا,"['پاکستان', 'کراچی', 'ڈاکٹر', 'شہلا رضا', 'عدالت', 'سندھ', 'ہوٹل']",2021-03-09T23:24:16+0500
8,اسلامی خاندانی نظام کو برباد کرنے کی ہرسازش کو ناکام بنائیں گے، سید عبدالرشید,"['کراچی', 'عام انتخابات 2018', 'جماعت اسلامی', 'پاکستان']",2021-03-09T23:24:16+0500
9,فری لانسرز اور آن لائن کاروبار کرنے والوں کے خلاف کریک ڈائون کا فیصلہ,"['موبائل', 'کمپنی', 'پاکستان', 'امریکہ', 'ایف بی آر']",2021-03-09T23:24:16+0500
10,سندھ پولیس کی جانب سے برطرف اہلکاروں کی بحالی کے لئے حیدرآباد کراچی ایم نائن پر دھرنادیا گیا,"['کراچی', 'پولیس', 'مولانا فضل الرحمن', 'دھرنا', 'احتجاج', 'سندھ']",2021-03-09T23:24:16+0500
11,شہر میں بڑھتی ہوئی منشیات فروشی کی روک تھام کے لئے ایس ایس پی حیدرآبا نے اے ایس پی کینٹ کی سربراہی میں ٹاسک فورم قائم کردی گئی,"['تھانہ', 'منشیات', 'پولیس', 'کاروبار']",2021-03-09T23:24:16+0500
12,وفاقی اور صوبائی حکومت سینیٹ الیکشن میں شفافیت پر یقین رکھتی ہے ،،میر ضیاء اللہ لانگو ,"['الیکشن کمیشن', 'عام انتخابات 2018', 'وزیر اعلیٰ', 'بلوچستان', 'سینیٹ', 'الیکشن']",2021-03-09T23:24:16+0500
13,خواتین کا ملکی ترقی اور قومی معیشت کی بہتری میں نمایاں کردار ہے ،میر ظہور احمد بلیدی ,['تعلیم'],2021-03-09T23:24:16+0500
