,headlines,categories,time
0,کورونا کی تیسری لہر سنگین ہوگئی، تعلیمی اداروں میں مزید چھٹیوں کا امکان,"['ڈاکٹر', 'چھٹیاں', 'تعلیم', 'پاکستان', 'کرونا وائرس']",2021-03-21T22:08:53+0500
1,درخت لگانا صدقہ جاریہ ،پرانے درختوں کی حفاظت ]نئے درخت لگانے سے ماحول خوبصورت اورصحت مند بنایا جا سکتا ہے ،سردار عبدالرحمان ,"['سونامی', 'وزیر اعلیٰ', 'پاکستان', 'کار']",2021-03-21T22:05:10+0500
2,بلڈنگز کا محکمہ عوام کی تعمیر وترقی کیلئے بہترسے بہتر اقدامات کررہا ہے ،غلام علی بلوچ ,['بلوچستان'],2021-03-21T22:05:10+0500
3,روزانہ کی بنیاد پر مہنگائی ،قرضوں کا حصول اوربدعنوانی عوام کیلئے دردسراور غریبوں کو زندہ درگورکرنے کی پالیسی ہے ، مولانا عبدالحق ہاشمی ,"['مہنگائی', 'بلوچستان', 'اسمبلی', 'جماعت اسلامی']",2021-03-21T22:05:09+0500
4,صوبائی وزیر میراسداللہ بلوچ سے کوآرڈینیٹر ٹو وزیراعلی عبدالرؤف رند اور میر زبیر رند کی ملا قات ,"['علاج', 'بلوچستان', 'غریب']",2021-03-21T22:05:09+0500
5,وزیر داخلہ بلوچستان کاسانحہ سریاب میں ملوث مرکزی ملزم کو گرفتار کرنے پر اظہار اطمینان ,"['قتل', 'میرا', 'دنیا', 'قاتل', 'کوئٹہ']",2021-03-21T22:05:09+0500
6,مارچ یوم پاکستان کے سلسلے میں قلات سکاوّٹس کی جانب سی خضدار میں ایم-8 شاہراہ پر سائیکل ریس کا انعقاد کیا جائیگا,"['موبائل', 'ایف سی', 'پاکستان', 'یوم پاکستان']",2021-03-21T22:05:08+0500
7,مسلم لیگ(ن) بلوچستان 23مارچ کو ملی جو ش و جذبے سے منائیگی ، سابق اسپیکر جمال شاہ کاکڑ ,"['علامہ اقبال', 'بلوچستان', 'پاکستان', 'یوم پاکستان', 'محمد علی جناح']",2021-03-21T22:05:08+0500
8,قائد جمعیت مولانا فضل الرحمان قائدانہ صلاحیتوں کے حامل ملک کے زیرک لیڈر ثابت ہو گئے ہیں مولانا عبد الواسع ,"['ایم کے', 'جمعیت', 'قومی اسمبلی', 'احتجاج', 'مولانا فضل الرحمن', 'لانگ مارچ', 'بنک', 'بجلی', 'مہنگائی', 'اسمبلی', 'عام انتخابات 2018', 'کار', 'الیکشن']",2021-03-21T22:05:08+0500
9,بلوچستان شیعہ کا نفر نس کے انتخابات ،انجینئر محمد جواد رفیعی صدر، ملک ندیم ظفر جنرل سیکرٹری سمیت تمام 9عہدیدار بلامقابلہ منتخب ,"['بلوچستان', 'الیکشن کمیشن', 'عام انتخابات 2018', 'الیکشن']",2021-03-21T22:05:07+0500
