,headlines,categories
0,بھارت اورپاکستان کو کشمیر سمیت تمام مسائل کو حل کرنے کے لئے کھل کربات چیت کرنی چاہیی: عمر عبداللہ,"['مذاکرات', 'مسئلہ کشمیر', 'پاکستان', 'عمر عبداللہ', 'بھارت']"
1,بھارتی فوجیوں نے شوپیان میں ایک کشمیری نوجوان شہید کردیا,"['بھارت', 'شہید']"
2,جنوبی افریقہ پہنچنے والے قومی اسکواڈ کا کورونا ٹیسٹ منفی آگیا،ٹرننگ کی اجازت مل گئی,"['افریقہ', 'پاکستان کرکٹ بورڈ', 'پاکستان', 'کرکٹ', 'مصباح الحق', 'پی سی بی']"
3,قومی کرکٹ ٹیم دورہ جنوبی افریقہ میں 3 ایک روزہ انٹرنیشنل میچ اور 4 ٹی20 میچ کھیلے گی,"['افریقہ', 'کرکٹ']"
4,بھارتی کرکٹ ٹیم کے کپتان ویرات کوہلی نے تیسرے نمبر پر بلے بازی کرتے ہوئے 10 ہزار رنز مکمل کر لیے,"['سری لنکا', 'بھارت', 'کرکٹ', 'کھیل']"
5,ڈیرہ اسماعیل خان ،جیپ ریلی میں ریس کے دوران ٹائرپھٹنے سے گاڑی اٴْلٹ گئی,"['نقصان', 'گاڑی']"
6,ایران اور چین کے درمیان 25 سالہ معاشی و تزویراتی شراکت داری کا معاہدہ طے پاگیا,"['امریکہ', 'ایران', 'تیل', 'چین']"
7,موزمبیق میں داعش کا ایل این جی پلانٹ اور ہوٹل پر حملہ، غیرملکی ملازمین یرغمال,"['کمپنی', 'داعش', 'فرانس', 'ڈالر', 'تباہی', 'حملہ', 'ہوٹل', 'ہلاک']"
8,امریکی خفیہ اداروں کا افغانستان پر طالبان کے ممکنہ قبضے کا انتباہ,"['مذاکرات', 'ڈونلڈ ٹرمپ', 'وائٹ ہاؤس', 'امریکہ', 'افغانستان', 'القاعدہ', 'طالبان']"
9,( ن) لیگ کو زخم زرداری نے دیا،مریم کنیزوں کی سنگت میں عمران خان پر برس رہی ہے‘فردوس عاشق,"['مسلم لیگ (ن)', 'کرونا وائرس', 'مریم نواز شریف', 'آصف علی زرداری', 'یوسف رضا گیلانی', 'جلسہ', 'ڈاکٹر', 'جمہوریت', 'پانی', 'وزیراعظم', 'فردوس عاشق اعوان', 'بلاول بھٹو زرداری', 'پنجاب', 'تعلیم']"
