,headlines,categories
0,کے الیکٹرک نے بارشوں کے خطرات پر قابو پانے کے لیی 9.5 ارب روپے سرمایہ کاری کے تحت پہلے سب اسٹیشن کا افتتاح کر دیا,"['سیلاب', 'پانی', 'بجلی', 'کراچی', 'موسم', 'ڈاکٹر', 'نقصان', 'ریکارڈ', 'بارشیں', 'کے الیکٹرک']"
1,یوم پاکستان کے موقع پر کراچی ریلوے کے پر جوش اقدامات,"['یوم پاکستان', 'مقبوضہ کشمیر', 'کراچی', 'محمد علی جناح', 'بھارت', 'پاکستان', 'کرونا وائرس', 'مسئلہ کشمیر', 'ریلوے']"
2,فیس نہ دینے پر طالبہ سے ناروا سلوک، اسکول مالک اور ٹیچرز کے خلاف مقدمہ,"['پولیس', 'طالبہ', 'تعلیم', 'کرونا وائرس']"
3,کراچی : ائیرپورٹ کے علاقے سے 2 سالہ بچہ اغوا,"['پولیس', 'ڈرائیور', 'کراچی', 'اغوا', 'ائیرپورٹ']"
4,آرٹس کونسل آف پاکستان میں کرونا وبا سے بچاؤ کیلئے ویکسین لگائے جانے کے سلسلے میں تیزی,"['سندھ', 'کراچی', 'کرونا وائرس']"
5,کے ایم سی کے فائر فائٹرز نے 26 ماہ کے اوورٹائم کی عدم ادائیگی کے خلاف کے ایم سی ہیڈ آفس کے مین دفتر کے سامنے دھرنا دے دیا,"['پولیس', 'مولانا فضل الرحمن', 'دھرنا', 'عدالت', 'مذاکرات', 'احتجاج', 'ریاض']"
6,مدرسہ مظہرالعلوم حمادیہ اتحادٹاؤن کراچی میںتکمیل قرآن کرام وتقسیم انعامات کی سالانہ روح پرور تقریب,"['فخرالدین جی ابراہیم', 'کراچی', 'لیاری', 'ڈاکٹر']"
7,وطن کے دفاع و سلامتی کیلئے کوئی دقیقہ فرو گذاشت نہیں کریں گے ،مارچ تجدید عہد کا دن ، قومی تاریخ کا اہم سنگِ میل ہے، شاہ عبد الحق,"['یوم پاکستان', 'کراچی', 'ڈاکٹر', 'پاکستان', 'علما']"
8,واٹربورڈکو حکومت سندھ خصوصاً وزیربلدیات وچیئرمین واٹربورڈ سید ناصر حسین شاہ کا بھرپورتعاون اور رہنمائی حاصل ہے، ایم ڈی ,"['عام انتخابات 2018', 'سندھ', 'اسمبلی', 'پیپلز پارٹی']"
9,حکومت سندھ ماحولیات کے مسائل کے حل کیلئے کوششیں کر رہی ہے، ایسے مسائل کے سدباب کے لئے کام کیا جا رہا ہے ، مرتضیٰ وہاب ,"['پانی', 'عدالت', 'وزیر اعلیٰ', 'کرکٹ', 'ٹریفک', 'سندھ']"
